Scientific_Name,Common_Name,Genus,Family,SRS,Lower,Upper,Range,SRC,Red List Status,Avg_ABM,BMC ,HR,GL,IUCN Land Regions,E_Asia,Europe,M_America,N_Africa,N_Asia,SSE_Asia,SS_Africa,WC_Asia,S_America,N_America,Caribbean,Oceania,IUCN_Habitats,Forest,Shrubland,Savanna,Grassland,Desert,Wetlands,Rocky,Marine_Intertidal,Marine_Coastal/Supratidal,Artificial/Terrestrial,Introduced Vegetation,Other,Unknown,Geog_Range,,,
Lycalopex sechurae,Sechuran Fox,Lycalopex,Canidae,,,,0,,Near Threatened,3.6,S,1.47,3,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Grassland, Desert, Artificial/Terrestrial",1,1,0,1,1,0,0,0,0,1,0,0,0,0.01 to 0.1,,,
Lycalopex vetulus,Hoary Fox,Lycalopex,Canidae,,,,0,,Near Threatened,3.5,S,3.67,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Savanna, Artificial/Terrestrial",0,0,1,0,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex griseus,Chilla,Lycalopex,Canidae,,,,0,,Least Concern,3.25,S,1.35,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Grassland, Artificial/Terrestrial",1,1,0,1,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex gymnocercus,Pampas Fox,Lycalopex,Canidae,,,,0,,Least Concern,5,S,0.56,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Savanna, Shrubland, Grassland, Artificial/Terrestrial",0,1,1,1,0,0,0,0,0,1,0,0,0,1 to 5,,,
Lycalopex culpaeus,Culpeo,Lycalopex,Canidae,,,,0,,Least Concern,7.73,M,5.4,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",1,1,1,1,0,0,1,0,0,1,0,0,0,1 to 5,,,
Lycalopex fulvipes,Darwin's Fox,Lycalopex,Canidae,,,,0,,Endangered,2.72,S,4.88,3.5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Shrubland, Artificial/Terrestrial",1,1,0,0,0,0,0,0,0,1,0,0,0,0.01 to 0.1,,,
Dusicyon australis,Falklands Wolf,Dusicyon,Canidae,,,,0,,Extinct,NA,NA,NA,NA,South America,0,0,0,0,0,0,0,0,1,0,0,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Dusicyon avus,Dusicyon avus,Dusicyon,Canidae,,,,0,,Extinct,NA,NA,NA,NA,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Shrubland, Grassland",0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,
Urocyon cinereoargenteus,Grey Fox,Urocyon,Canidae,,,,0,,Least Concern,3.7,S,1.89,3,"Mesoamerica, North America, South America",0,0,1,0,0,0,0,0,1,1,0,0,"Forest, Shrubland, Artificial/Terrestrial",1,1,0,0,0,0,0,0,0,1,0,0,0,5 to 10,,,
Urocyon littoralis,Island Fox,Urocyon,Canidae,66.7,66.7,66.7,0,Moderately Depleted,Near Threatened,1.81,S,0.45,4,North America,0,0,0,0,0,0,0,0,0,1,0,0,"Forest, Shrubland, Grassland, Marine Intertidal, Artificial/Terrestrial",1,1,0,1,0,0,0,1,0,1,0,0,0,<0.01,,,
Lycaon pictus,African Wild Dog,Lycaon,Canidae,33.3,33.3,33.3,0,Largely Depleted,Endangered,22,L,817,5,"North Africa, Sub-Saharan Africa",0,0,0,1,0,0,1,0,0,0,0,0,"Forest, Savanna, Shrubland, Grassland, Desert",1,1,1,1,1,0,0,0,0,0,0,0,0,1 to 5,,,
Nyctereutes procyonoides,Racoon Dog,Nyctereutes,Canidae,,,,0,,Least Concern,4.04,S,1.2,3,"East Asia, Europe, North Asia, South and Southeast Asia, West and Central Asia",1,1,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland, Artificial/Terrestrial",1,1,0,1,0,0,0,0,0,1,0,0,0,10 to 20,,,
Speothos venaticus,Bush Dog,Speothos,Canidae,,,,0,,Near Threatened,5.5,M,102,4,"Mesoamerica, South America",0,0,1,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Artificial/Terrestrial",1,1,1,1,0,0,0,0,0,1,0,0,0,10 to 20,,,
Atelocynus microtis,Short-eared Dog,Atelocynus,Canidae,,,,0,,Near Threatened,9.5,M,19,4,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Wetlands (inland)",1,0,1,0,0,1,0,0,0,0,0,0,0,1 to 5,,,
Cerdocyon thous,Crab-eating Fox,Cerdocyon,Canidae,,,,0,,Least Concern,6,M,1.5,4.19,"Mesoamerica, South America",0,0,1,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,5 to 10,,,
Cuon alpinus,Dhole,Cuon,Canidae,30.3,30.3,30.3,0,Largely Depleted,Endangered,14.5,L,40,5,"East Asia, North Asia, South and Southeast Asia, West and Central Asia",1,0,0,0,1,1,0,1,0,0,0,0,"Forest, Shrubland, Grassland",1,1,0,1,0,0,0,0,0,0,0,0,0,1 to 5,,,
Otocyon megalotis,Bat-eared Fox,Otocyon,Canidae,100,66.7,100,33.3,Fully Recovered,Least Concern,3.9,S,1.4,5.37,Sub-Saharan Africa,0,0,0,0,0,0,1,0,0,0,0,0,"Savanna, Shrubland, Grassland",0,1,1,1,0,0,0,0,0,0,0,0,0,10 to 20,,,
Chrysocyon brachyurus,Maned Wolf,Chrysocyon,Canidae,33.3,33.3,33.3,0,Largely Depleted,Near Threatened,23,L,23,5,South America,0,0,0,0,0,0,0,0,1,0,0,0,"Forest, Savanna, Shrubland, Grassland, Wetlands (inland), Artificial/Terrestrial",1,1,1,1,0,1,0,0,0,1,0,0,0,1 to 5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
